date,stars,source,observed_at
2026-07-12,1,reconstructed,
2026-07-13,1,reconstructed,
2026-07-14,1,reconstructed,
2026-07-15,1,reconstructed,
2026-07-16,1,reconstructed,
2026-07-17,1,reconstructed,
2026-07-18,1,reconstructed,
2026-07-19,1,reconstructed,
2026-07-20,1,reconstructed,
2026-07-21,1,reconstructed,
2026-07-22,1,reconstructed,
2026-07-23,1,reconstructed,
2026-07-24,1,reconstructed,
2026-07-25,1,reconstructed,
2026-07-26,1,reconstructed,
2026-07-27,1,reconstructed,
2026-07-28,1,reconstructed,
2026-07-29,1,reconstructed,
2026-07-30,1,reconstructed,
2026-07-31,1,reconstructed,
2026-08-01,1,reconstructed,
2026-08-02,1,reconstructed,
2026-08-03,1,reconstructed,
2026-08-04,1,reconstructed,
2026-08-05,1,reconstructed,
2026-08-06,1,reconstructed,
2026-08-07,1,reconstructed,
2026-08-08,1,reconstructed,
2026-08-09,1,reconstructed,
2026-08-10,1,reconstructed,
2026-08-11,1,reconstructed,
2026-08-12,2,reconstructed,
2026-08-13,2,reconstructed,
2026-08-14,2,reconstructed,
2026-08-15,2,reconstructed,
2026-08-16,2,reconstructed,
2026-08-17,3,reconstructed,
2026-08-18,4,reconstructed,
2026-08-19,4,reconstructed,
2026-08-20,4,reconstructed,
2026-08-21,4,reconstructed,
2026-08-22,4,reconstructed,
2026-08-23,4,reconstructed,
2026-08-24,4,reconstructed,
2026-08-25,5,reconstructed,
2026-08-26,5,reconstructed,
2026-08-27,5,reconstructed,
2026-08-28,5,reconstructed,
2026-08-29,5,reconstructed,
2026-08-30,5,reconstructed,
2026-08-31,5,reconstructed,
2026-09-01,5,reconstructed,
2026-09-02,5,reconstructed,
2026-09-03,5,reconstructed,
2026-09-04,5,reconstructed,
2026-09-05,5,reconstructed,
2026-09-06,5,reconstructed,
2026-09-07,5,reconstructed,
2026-09-08,5,reconstructed,
2026-09-09,5,reconstructed,
2026-09-10,5,observed,2026-09-10T09:02:56.534Z
2026-09-11,5,observed,2026-09-10T21:40:39.832Z
2026-09-12,5,observed,2026-09-11T21:45:34.309Z
2026-09-13,5,observed,2026-09-12T21:28:32.852Z
2026-09-14,5,observed,2026-09-13T21:27:53.532Z
2026-09-15,5,observed,2026-09-14T22:32:56.131Z
2026-09-16,5,observed,2026-09-15T22:17:30.318Z
2026-09-17,5,observed,2026-09-16T22:13:03.859Z
2026-09-18,5,observed,2026-09-17T22:14:12.400Z
2026-09-19,5,observed,2026-09-18T21:43:46.992Z
